arr_size,avg_partition_size
54000,26450.599609
54100,26400.500000
54200,26621.000000
54300,26671.099609
54400,26518.500000
54500,26762.500000
54600,26777.099609
54700,26608.000000
54800,26967.300781
54900,26897.599609
55000,26923.400391
55100,26894.800781
55200,26874.199219
55300,27074.900391
55400,27198.900391
55500,27204.800781
55600,27176.800781
55700,27389.599609
55800,27464.400391
55900,27440.699219
56000,27390.300781
56100,27589.599609
56200,27473.500000
56300,27640.400391
56400,27498.699219
56500,27695.800781
56600,27745.000000
56700,28095.300781
56800,27965.199219
56900,27990.300781
57000,27974.800781
57100,28067.599609
57200,28055.599609
57300,28158.300781
57400,28071.199219
57500,28438.699219
57600,28174.500000
57700,28103.500000
57800,28439.500000
57900,28394.300781
58000,28491.099609
58100,28525.099609
58200,28621.500000
58300,28720.199219
58400,28838.699219
58500,28726.400391
58600,28785.500000
58700,28615.300781
58800,28754.900391
58900,28741.800781
59000,28936.800781
59100,28978.300781
59200,28901.500000
59300,29166.900391
59400,29217.400391
59500,29096.199219
59600,29331.099609
59700,29340.900391
59800,29337.400391
59900,29397.800781
60000,29404.900391
60100,29501.199219
60200,29544.199219
60300,29535.000000
60400,29839.199219
60500,29713.500000
60600,30109.500000
60700,29875.000000
60800,30135.800781
60900,30063.000000
61000,29905.599609
61100,30070.699219
61200,29942.800781
61300,30026.000000
61400,30203.699219
61500,30408.099609
61600,30180.000000
61700,30256.699219
61800,30368.699219
61900,30586.800781
62000,30429.400391
62100,30592.199219
62200,30696.699219
62300,30618.800781
62400,30718.599609
62500,30671.199219
62600,30683.500000
62700,30879.199219
62800,30750.900391
62900,30955.599609
63000,31050.000000
63100,30825.199219
63200,31292.599609
63300,31203.099609
63400,31238.400391
63500,31253.199219
63600,31254.800781
63700,31248.300781
63800,31446.599609
63900,31591.800781
64000,31491.199219
64100,31194.199219
64200,31613.900391
64300,31597.599609
64400,31376.000000
64500,31670.500000
64600,31633.199219
64700,32031.199219
64800,31847.300781
64900,32031.599609
65000,32115.400391
65100,32045.900391
65200,32178.900391
65300,32193.300781
65400,32346.800781
65500,32275.400391
65600,32359.699219
65700,32449.300781
65800,32350.800781
65900,32448.500000
66000,32406.500000
66100,32630.500000
66200,32504.800781
66300,32738.300781
66400,32583.300781
66500,32850.199219
66600,32883.699219
66700,32841.500000
66800,32913.601562
66900,32927.800781
67000,32892.398438
67100,33025.398438
67200,33112.500000
67300,33038.000000
67400,33336.398438
67500,33403.199219
67600,33195.800781
67700,33476.699219
67800,33390.398438
67900,33403.800781
68000,33339.199219
68100,33450.800781
68200,33793.000000
68300,33903.000000
68400,33806.000000
68500,33693.398438
68600,33981.300781
68700,33814.199219
68800,33818.000000
68900,34047.300781
69000,33920.199219
69100,34205.101562
69200,34324.500000
69300,34088.199219
69400,34098.000000
69500,34679.800781
69600,34560.101562
69700,34595.898438
69800,34294.800781
69900,34309.800781
70000,34705.398438
70100,34512.699219
70200,34455.898438
70300,34852.101562
70400,34861.000000
70500,34789.398438
70600,35013.500000
70700,34777.000000
70800,34831.601562
70900,34770.300781
71000,35151.000000
71100,35072.199219
71200,35107.601562
71300,35275.398438
71400,35323.500000
71500,35069.398438
71600,35250.000000
71700,35068.101562
71800,35428.398438
71900,35399.300781
72000,35446.398438
72100,35578.398438
72200,35562.000000
72300,35710.500000
72400,35782.000000
72500,35736.199219
72600,35648.898438
72700,35799.800781
72800,35925.300781
72900,35946.898438
73000,35880.500000
73100,35913.101562
73200,36350.101562
73300,36053.800781
73400,36254.699219
73500,36395.300781
73600,36371.601562
73700,36416.800781
73800,36426.500000
73900,36739.500000
74000,36433.601562
74100,36518.199219
74200,36821.398438
74300,36811.601562
74400,36970.398438
74500,36816.101562
74600,36722.500000
74700,37068.500000
74800,36942.800781
74900,37120.199219
75000,36939.398438
75100,37078.500000
75200,37214.500000
75300,37060.300781
75400,37183.800781
75500,37170.699219
75600,37474.101562
75700,37577.101562
75800,37603.898438
75900,37491.101562
76000,37469.101562
76100,37285.800781
76200,37553.398438
76300,37817.601562
76400,37463.199219
76500,37678.000000
76600,37880.199219
76700,37949.800781
76800,38084.398438
76900,38079.300781
77000,37834.800781
77100,38237.699219
77200,38131.000000
77300,38253.601562
77400,38192.300781
77500,38318.199219
77600,38424.601562
77700,38477.699219
77800,38416.199219
77900,38483.800781
78000,38517.500000
78100,38726.199219
78200,38850.101562
78300,38710.300781
78400,38922.898438
78500,38740.101562
78600,38562.800781
78700,38740.000000
78800,38956.601562
78900,39026.300781
79000,39301.300781
79100,39100.601562
79200,39197.101562
79300,39084.898438
79400,39197.500000
79500,39244.000000
79600,39435.000000
79700,39389.300781
79800,39381.898438
79900,39449.000000
80000,39223.601562
80100,39264.000000
80200,39466.500000
80300,39765.500000
80400,39697.699219
80500,39884.398438
80600,39787.898438
80700,39965.601562
80800,40058.300781
80900,40126.800781
81000,40087.500000
81100,39972.199219
81200,40247.500000
81300,40112.398438
81400,40445.601562
81500,40512.000000
81600,40293.398438
81700,40576.300781
81800,40439.000000
81900,40725.601562
82000,40514.300781
82100,40619.699219
82200,40687.800781
82300,40570.300781
82400,40827.300781
82500,40617.699219
82600,40830.601562
82700,40956.500000
82800,40898.101562
82900,41191.898438
83000,41169.601562
83100,41072.199219
83200,41047.101562
83300,41247.699219
83400,41362.101562
83500,41361.398438
83600,41423.199219
83700,41575.500000
83800,41471.500000
83900,41653.199219
84000,41686.699219
84100,41206.300781
84200,41569.000000
84300,41745.300781
84400,41375.699219
84500,41605.898438
84600,41585.800781
84700,41471.500000
84800,41665.000000
84900,41807.699219
85000,42205.800781
85100,41755.601562
85200,42076.601562
85300,42471.398438
85400,41976.500000
85500,42128.500000
85600,42421.898438
85700,42198.699219
85800,42359.601562
85900,42239.398438
86000,42450.199219
86100,42469.500000
86200,42565.101562
86300,42518.199219
86400,42606.601562
86500,42583.000000
86600,42561.000000
86700,42350.500000
86800,42933.101562
86900,42776.000000
87000,42724.300781
87100,42802.500000
87200,43035.199219
87300,42880.800781
87400,43126.101562
87500,43155.800781
87600,43273.500000
87700,43127.199219
87800,42997.601562
87900,43543.500000
88000,43313.800781
88100,43363.300781
88200,43515.000000
88300,43321.601562
88400,43361.398438
88500,43326.398438
88600,43498.101562
88700,43566.398438
88800,43698.800781
88900,43898.101562
89000,44035.800781
89100,43873.500000
89200,44120.601562
89300,43925.898438
89400,44033.101562
89500,44135.601562
89600,44160.800781
89700,44016.101562
89800,44399.601562
89900,44337.800781
90000,44392.800781
90100,44395.601562
90200,44542.898438
90300,44399.898438
90400,44804.500000
90500,44654.601562
90600,44726.601562
90700,44653.398438
90800,44742.601562
90900,44892.500000
91000,44703.398438
91100,44831.601562
91200,44624.800781
91300,44784.601562
91400,45109.699219
91500,44884.601562
91600,44926.898438
91700,44941.601562
91800,45078.101562
91900,45141.500000
92000,45379.800781
92100,45402.500000
92200,45392.300781
92300,45197.300781
92400,45614.800781
92500,45570.398438
92600,45691.500000
92700,45839.699219
92800,45939.000000
92900,45947.898438
93000,46017.199219
93100,45749.101562
93200,46181.199219
93300,46104.500000
93400,46073.101562
93500,46158.101562
93600,45963.300781
93700,46260.699219
93800,46328.398438
93900,46344.699219
94000,46300.300781
94100,46122.000000
94200,46702.898438
94300,46515.199219
94400,46439.000000
94500,46594.398438
94600,46718.199219
94700,46370.398438
94800,46905.898438
94900,47045.601562
95000,46842.800781
95100,47174.300781
95200,46748.300781
95300,46982.199219
95400,46967.500000
95500,47007.101562
95600,47524.199219
95700,46959.898438
95800,47153.199219
95900,47265.898438
96000,47202.300781
96100,47384.000000
96200,47387.800781
96300,47300.101562
96400,47465.800781
96500,47541.500000
96600,47418.601562
96700,47383.898438
96800,47535.101562
96900,47909.699219
97000,48215.199219
97100,47844.398438
97200,47720.800781
97300,47858.800781
97400,48302.898438
97500,48114.101562
97600,48038.000000
97700,47892.000000
97800,48076.800781
97900,48245.101562
98000,48212.500000
98100,48335.398438
98200,48513.601562
98300,48286.800781
98400,48612.699219
98500,48602.300781
98600,48717.300781
98700,48613.500000
98800,48682.199219
98900,49043.101562
99000,48823.898438
99100,48930.398438
99200,48841.300781
99300,48803.300781
99400,48788.500000
99500,48933.500000
99600,48936.101562
99700,49657.898438
99800,49205.199219
99900,49492.800781
100000,49300.800781
