div_size,avg_time
1647,98.643201
1649,92.563200
1651,91.027200
1653,93.248000
1655,90.668800
1657,92.627200
1659,91.481599
1661,93.033601
1663,91.449600
1665,94.508800
1667,94.960001
1669,91.766399
1671,96.672001
1673,91.475200
1675,93.747200
1677,93.827200
1679,102.767999
1681,94.982401
1683,91.555200
1685,92.409600
1687,92.531199
1689,95.424000
1691,92.259201
1693,94.268802
1695,94.163200
1697,93.967999
1699,92.448000
1701,92.880000
1703,94.112001
1705,95.017600
1707,95.068801
1709,93.910400
1711,93.359999
1713,93.670399
1715,93.071999
1717,93.747200
1719,95.350401
1721,96.160000
1723,96.531200
1725,97.571200
1727,99.449601
1729,93.904001
1731,123.747200
1733,94.905600
1735,95.593600
1737,96.022400
1739,95.049600
1741,94.960000
1743,95.673600
1745,94.505600
1747,95.942400
1749,95.862400
1751,99.094399
1753,98.700800
1755,97.494398
1757,97.049600
1759,97.616001
1761,101.625600
1763,97.347201
1765,106.726400
1767,98.972800
1769,97.436800
1771,97.936001
1773,96.857600
1775,99.049600
1777,97.804800
1779,97.680000
1781,96.371199
1783,99.635200
1785,100.908800
1787,102.416000
1789,101.584000
1791,99.600000
1793,97.283200
1795,101.888000
1797,100.336000
1799,102.432000
1801,99.619200
1803,102.166400
1805,100.937598
1807,101.798399
1809,98.515199
1811,100.908801
1813,103.568000
1815,99.529600
1817,103.235200
1819,101.289601
1821,122.169600
1823,106.700800
1825,107.068800
1827,102.691200
1829,101.993600
1831,103.366400
1833,102.352000
1835,102.752000
1837,105.267200
1839,102.406401
1841,104.179202
1843,104.521601
1845,106.841599
1847,104.563200
1849,106.019200
1851,104.080001
1853,103.968002
1855,104.287999
1857,105.123200
1859,104.323199
1861,105.811201
1863,104.310400
1865,103.459200
1867,101.756799
1869,103.904000
1871,106.105601
1873,103.286401
1875,102.003201
1877,103.542400
1879,105.699200
1881,107.497601
1883,108.323200
1885,109.120000
1887,108.025600
1889,105.980800
1891,110.105600
1893,108.713600
1895,107.878400
1897,107.740800
1899,108.041601
1901,107.577600
1903,104.124800
1905,105.296000
1907,106.342400
1909,108.339199
1911,104.534401
1913,105.190400
1915,107.872000
1917,106.367999
1919,107.993600
1921,107.775999
1923,105.312000
1925,108.742400
1927,105.715200
1929,107.641599
1931,123.520000
1933,107.699200
1935,109.830401
1937,108.102400
1939,106.585599
1941,105.651200
1943,108.409600
1945,107.507199
1947,109.433601
1949,107.884799
1951,105.753600
1953,109.900800
1955,107.430400
1957,106.547199
1959,110.777599
1961,109.536000
1963,106.848000
1965,112.031999
1967,109.024000
1969,111.315200
1971,114.233601
1973,112.607999
1975,111.193601
1977,111.903999
1979,112.224000
1981,109.024000
1983,109.087999
1985,113.952000
1987,109.491200
1989,108.262400
1991,111.827200
1993,115.475200
1995,160.531199
1997,165.292798
1999,176.198401
2001,168.384001
2003,165.695998
